,CODE,SCHOOL_NAME,CLUSTER,CLUSTER_NAME,GRADES,TYPE_1,ZONE_1,WEB_LINK,SHORT_ADDR,CITY,ZIP,PHONE,METRO_DIST,LONGITUDE,LATITUDE,CLUSTER_GEO,ADDRESS,SCHOOL_TYPE,TOTAL_ENROLLMENT,YEARS
0,120,Jere Baxter Middle School,550,MAPLEWOOD,6-8,DISTRICT,ZONE SCHOOL,https://jerebaxter.mnps.org/,350 Hart Ln,Nashville,37207,615-262-6710,5,-86.7506207486355,36.2189447138057,MAPLEWOOD,"350 Hart Ln, Nashville, TN-37207",Middle School,492,07-08
1,120,Jere Baxter Middle School,550,MAPLEWOOD,6-8,DISTRICT,ZONE SCHOOL,https://jerebaxter.mnps.org/,350 Hart Ln,Nashville,37207,615-262-6710,5,-86.7506207486355,36.2189447138057,MAPLEWOOD,"350 Hart Ln, Nashville, TN-37207",Middle School,483,08-09
2,120,Jere Baxter Middle School,550,MAPLEWOOD,6-8,DISTRICT,ZONE SCHOOL,https://jerebaxter.mnps.org/,350 Hart Ln,Nashville,37207,615-262-6710,5,-86.7506207486355,36.2189447138057,MAPLEWOOD,"350 Hart Ln, Nashville, TN-37207",Middle School,505,09-10
3,120,Jere Baxter Middle School,550,MAPLEWOOD,6-8,DISTRICT,ZONE SCHOOL,https://jerebaxter.mnps.org/,350 Hart Ln,Nashville,37207,615-262-6710,5,-86.7506207486355,36.2189447138057,MAPLEWOOD,"350 Hart Ln, Nashville, TN-37207",Middle School,529,10-11
4,120,Jere Baxter Middle School,550,MAPLEWOOD,6-8,DISTRICT,ZONE SCHOOL,https://jerebaxter.mnps.org/,350 Hart Ln,Nashville,37207,615-262-6710,5,-86.7506207486355,36.2189447138057,MAPLEWOOD,"350 Hart Ln, Nashville, TN-37207",Middle School,494,11-12
5,120,Jere Baxter Middle School,550,MAPLEWOOD,6-8,DISTRICT,ZONE SCHOOL,https://jerebaxter.mnps.org/,350 Hart Ln,Nashville,37207,615-262-6710,5,-86.7506207486355,36.2189447138057,MAPLEWOOD,"350 Hart Ln, Nashville, TN-37207",Middle School,472,12-13
6,120,Jere Baxter Middle School,550,MAPLEWOOD,6-8,DISTRICT,ZONE SCHOOL,https://jerebaxter.mnps.org/,350 Hart Ln,Nashville,37207,615-262-6710,5,-86.7506207486355,36.2189447138057,MAPLEWOOD,"350 Hart Ln, Nashville, TN-37207",Middle School,396,13-14
7,120,Jere Baxter Middle School,550,MAPLEWOOD,6-8,DISTRICT,ZONE SCHOOL,https://jerebaxter.mnps.org/,350 Hart Ln,Nashville,37207,615-262-6710,5,-86.7506207486355,36.2189447138057,MAPLEWOOD,"350 Hart Ln, Nashville, TN-37207",Middle School,359,14-15
8,120,Jere Baxter Middle School,550,MAPLEWOOD,6-8,DISTRICT,ZONE SCHOOL,https://jerebaxter.mnps.org/,350 Hart Ln,Nashville,37207,615-262-6710,5,-86.7506207486355,36.2189447138057,MAPLEWOOD,"350 Hart Ln, Nashville, TN-37207",Middle School,334,15-16
9,120,Jere Baxter Middle School,550,MAPLEWOOD,6-8,DISTRICT,ZONE SCHOOL,https://jerebaxter.mnps.org/,350 Hart Ln,Nashville,37207,615-262-6710,5,-86.7506207486355,36.2189447138057,MAPLEWOOD,"350 Hart Ln, Nashville, TN-37207",Middle School,305,16-17
10,120,Jere Baxter Middle School,550,MAPLEWOOD,6-8,DISTRICT,ZONE SCHOOL,https://jerebaxter.mnps.org/,350 Hart Ln,Nashville,37207,615-262-6710,5,-86.7506207486355,36.2189447138057,MAPLEWOOD,"350 Hart Ln, Nashville, TN-37207",Middle School,297,17-18
11,120,Jere Baxter Middle School,550,MAPLEWOOD,6-8,DISTRICT,ZONE SCHOOL,https://jerebaxter.mnps.org/,350 Hart Ln,Nashville,37207,615-262-6710,5,-86.7506207486355,36.2189447138057,MAPLEWOOD,"350 Hart Ln, Nashville, TN-37207",Middle School,249,18-19
12,120,Jere Baxter Middle School,550,MAPLEWOOD,6-8,DISTRICT,ZONE SCHOOL,https://jerebaxter.mnps.org/,350 Hart Ln,Nashville,37207,615-262-6710,5,-86.7506207486355,36.2189447138057,MAPLEWOOD,"350 Hart Ln, Nashville, TN-37207",Middle School,253,19-20
13,120,Jere Baxter Middle School,550,MAPLEWOOD,6-8,DISTRICT,ZONE SCHOOL,https://jerebaxter.mnps.org/,350 Hart Ln,Nashville,37207,615-262-6710,5,-86.7506207486355,36.2189447138057,MAPLEWOOD,"350 Hart Ln, Nashville, TN-37207",Middle School,524,20-21
